PK,Scale ID,Scale Name,Minimum,Maximum
1,AO,Automation,1,5
2,CF,Frequency,1,5
3,CN,Amount of Contact,1,5
4,CT,Context,1,3
5,CTP,Context (Categories 1-3),0,100
6,CX,Context,1,5
7,CXP,Context (Categories 1-5),0,100
8,EX,Extent,1,7
9,FM,Amount of Freedom,1,5
10,FT,Frequency of Task (Categories 1-7),0,100
11,HW,Hours Per Week,1,3
12,IH,Occupational Interest High-Point,0,6
13,IJ,Importance,1,5
14,IM,Importance,1,5
15,IP,Impact of Decisions,1,5
16,LC,Level of Competition,1,5
17,LV,Level,0,7
18,OI,Occupational Interests,1,7
19,OJ,On-The-Job Training (Categories 1-9),0,100
20,PT,On-Site Or In-Plant Training (Categories 1-9),0,100
21,PX,Proximity,1,5
22,RE,Responsibility,1,5
23,RL,Required Level Of Education (Categories 1-12),0,100
24,RT,Relevance of Task,0,100
25,RW,Related Work Experience (Categories 1-11),0,100
26,SR,How Serious,1,5
27,TI,% Time,1,5
28,VH,Work Value High-Point,1,6
29,WS,Work Schedule,1,3
