PK,O*NET-SOC Code,Title,Interests Element ID,Interests Element Name,Scale ID,Scale Name,Data Value,Date,Domain Source
1,11-1011.00,Chief Executives,1.B.1.a,Realistic,OI,Occupational Interests,1.3,Nov-23,Machine Learning
2,11-1011.00,Chief Executives,1.B.1.b,Investigative,OI,Occupational Interests,3.24,Nov-23,Machine Learning
3,11-1011.00,Chief Executives,1.B.1.c,Artistic,OI,Occupational Interests,2.08,Nov-23,Machine Learning
4,11-1011.00,Chief Executives,1.B.1.d,Social,OI,Occupational Interests,3.52,Nov-23,Machine Learning
5,11-1011.00,Chief Executives,1.B.1.e,Enterprising,OI,Occupational Interests,6.88,Nov-23,Machine Learning
6,11-1011.00,Chief Executives,1.B.1.f,Conventional,OI,Occupational Interests,5,Nov-23,Machine Learning
7,11-1011.00,Chief Executives,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
8,11-1011.00,Chief Executives,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
9,11-1011.00,Chief Executives,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,Nov-23,Machine Learning
10,11-1011.03,Chief Sustainability Officers,1.B.1.a,Realistic,OI,Occupational Interests,2.04,Nov-23,Machine Learning
11,11-1011.03,Chief Sustainability Officers,1.B.1.b,Investigative,OI,Occupational Interests,4.78,Nov-23,Machine Learning
12,11-1011.03,Chief Sustainability Officers,1.B.1.c,Artistic,OI,Occupational Interests,2.48,Nov-23,Machine Learning
13,11-1011.03,Chief Sustainability Officers,1.B.1.d,Social,OI,Occupational Interests,3.55,Nov-23,Machine Learning
14,11-1011.03,Chief Sustainability Officers,1.B.1.e,Enterprising,OI,Occupational Interests,6.68,Nov-23,Machine Learning
15,11-1011.03,Chief Sustainability Officers,1.B.1.f,Conventional,OI,Occupational Interests,4.49,Nov-23,Machine Learning
16,11-1011.03,Chief Sustainability Officers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
17,11-1011.03,Chief Sustainability Officers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,Nov-23,Machine Learning
18,11-1011.03,Chief Sustainability Officers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
19,11-1021.00,General and Operations Managers,1.B.1.a,Realistic,OI,Occupational Interests,2.22,Nov-23,Machine Learning
20,11-1021.00,General and Operations Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.39,Nov-23,Machine Learning
21,11-1021.00,General and Operations Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.31,Nov-23,Machine Learning
22,11-1021.00,General and Operations Managers,1.B.1.d,Social,OI,Occupational Interests,3.37,Nov-23,Machine Learning
23,11-1021.00,General and Operations Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.96,Nov-23,Machine Learning
24,11-1021.00,General and Operations Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.32,Nov-23,Machine Learning
25,11-1021.00,General and Operations Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
26,11-1021.00,General and Operations Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
27,11-1021.00,General and Operations Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,Nov-23,Machine Learning
28,11-1031.00,Legislators,1.B.1.a,Realistic,OI,Occupational Interests,1.54,Nov-23,Machine Learning
29,11-1031.00,Legislators,1.B.1.b,Investigative,OI,Occupational Interests,3.35,Nov-23,Machine Learning
30,11-1031.00,Legislators,1.B.1.c,Artistic,OI,Occupational Interests,2.7,Nov-23,Machine Learning
31,11-1031.00,Legislators,1.B.1.d,Social,OI,Occupational Interests,3.69,Nov-23,Machine Learning
32,11-1031.00,Legislators,1.B.1.e,Enterprising,OI,Occupational Interests,5.52,Nov-23,Machine Learning
33,11-1031.00,Legislators,1.B.1.f,Conventional,OI,Occupational Interests,3.62,Nov-23,Machine Learning
34,11-1031.00,Legislators,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
35,11-1031.00,Legislators,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,4,Nov-23,Machine Learning
36,11-1031.00,Legislators,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
37,11-2011.00,Advertising and Promotions Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.07,Nov-23,Machine Learning
38,11-2011.00,Advertising and Promotions Managers,1.B.1.b,Investigative,OI,Occupational Interests,1.71,Nov-23,Machine Learning
39,11-2011.00,Advertising and Promotions Managers,1.B.1.c,Artistic,OI,Occupational Interests,3.85,Nov-23,Machine Learning
40,11-2011.00,Advertising and Promotions Managers,1.B.1.d,Social,OI,Occupational Interests,3.14,Nov-23,Machine Learning
41,11-2011.00,Advertising and Promotions Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,Nov-23,Machine Learning
42,11-2011.00,Advertising and Promotions Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.3,Nov-23,Machine Learning
43,11-2011.00,Advertising and Promotions Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
44,11-2011.00,Advertising and Promotions Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
45,11-2011.00,Advertising and Promotions Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,3,Nov-23,Machine Learning
46,11-2021.00,Marketing Managers,1.B.1.a,Realistic,OI,Occupational Interests,1,Nov-23,Machine Learning
47,11-2021.00,Marketing Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.9,Nov-23,Machine Learning
48,11-2021.00,Marketing Managers,1.B.1.c,Artistic,OI,Occupational Interests,2.45,Nov-23,Machine Learning
49,11-2021.00,Marketing Managers,1.B.1.d,Social,OI,Occupational Interests,2.82,Nov-23,Machine Learning
50,11-2021.00,Marketing Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,Nov-23,Machine Learning
51,11-2021.00,Marketing Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.7,Nov-23,Machine Learning
52,11-2021.00,Marketing Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
53,11-2021.00,Marketing Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
54,11-2021.00,Marketing Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,Nov-23,Machine Learning
55,11-2022.00,Sales Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.49,Nov-23,Machine Learning
56,11-2022.00,Sales Managers,1.B.1.b,Investigative,OI,Occupational Interests,1.66,Nov-23,Machine Learning
57,11-2022.00,Sales Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.31,Nov-23,Machine Learning
58,11-2022.00,Sales Managers,1.B.1.d,Social,OI,Occupational Interests,3.29,Nov-23,Machine Learning
59,11-2022.00,Sales Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,Nov-23,Machine Learning
60,11-2022.00,Sales Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.58,Nov-23,Machine Learning
61,11-2022.00,Sales Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,Nov-23,Machine Learning
62,11-2022.00,Sales Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,Nov-23,Machine Learning
63,11-2022.00,Sales Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,Nov-23,Machine Learning
64,11-2032.00,Public Relations Managers,1.B.1.a,Realistic,OI,Occupational Interests,1,Nov-23,Machine Learning
65,11-2032.00,Public Relations Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.35,Nov-23,Machine Learning
