PK,Abilities Element ID,Abilities Element Name,Scale ID,Scale Name,Anchor Value,Anchor Description
1,1.A.1.a.1,Oral Comprehension,LV,Level,2,Understand a television commercial
2,1.A.1.a.1,Oral Comprehension,LV,Level,4,Understand a coach's oral instructions for a sport
3,1.A.1.a.1,Oral Comprehension,LV,Level,6,Understand a lecture on advanced physics
4,1.A.1.a.2,Written Comprehension,LV,Level,2,Understand signs on the highway
5,1.A.1.a.2,Written Comprehension,LV,Level,4,Understand an apartment lease
6,1.A.1.a.2,Written Comprehension,LV,Level,6,Understand an instruction book on repairing Artificial Intelligence systems
7,1.A.1.a.3,Oral Expression,LV,Level,2,Place an order at a restaurant drive-thru
8,1.A.1.a.3,Oral Expression,LV,Level,4,Give instructions to a lost motorist
9,1.A.1.a.3,Oral Expression,LV,Level,6,Explain advanced principles of genetics to college freshmen
10,1.A.1.a.4,Written Expression,LV,Level,1,Write a note to remind someone to take food out of the freezer
11,1.A.1.a.4,Written Expression,LV,Level,4,Write a job recommendation for a subordinate
12,1.A.1.a.4,Written Expression,LV,Level,6,Write an advanced economics textbook
13,1.A.1.b.1,Fluency of Ideas,LV,Level,2,Name four different uses for a screwdriver
14,1.A.1.b.1,Fluency of Ideas,LV,Level,4,Think of as many ideas as possible for the name of a new company
15,1.A.1.b.1,Fluency of Ideas,LV,Level,6,Identify as many strategies as possible for a company acquisition and merger
16,1.A.1.b.2,Originality,LV,Level,2,Use a credit card to open a locked door
17,1.A.1.b.2,Originality,LV,Level,4,Redesign job tasks to be interesting for employees
18,1.A.1.b.2,Originality,LV,Level,6,Invent a new type of man-made fiber
19,1.A.1.b.3,Problem Sensitivity,LV,Level,2,Recognize that an unplugged lamp won't work
20,1.A.1.b.3,Problem Sensitivity,LV,Level,4,Notice from a subtle difference in a client's mood that something is bothering them
21,1.A.1.b.3,Problem Sensitivity,LV,Level,6,Recognize an illness at an early stage of a disease when there are only a few symptoms
22,1.A.1.b.4,Deductive Reasoning,LV,Level,2,Know that a stalled car can coast downhill
23,1.A.1.b.4,Deductive Reasoning,LV,Level,5,Decide what factors to consider in selecting stocks
24,1.A.1.b.4,Deductive Reasoning,LV,Level,6,Design an aircraft wing using principles of aerodynamics
25,1.A.1.b.5,Inductive Reasoning,LV,Level,2,Decide what to wear based on the weather report
26,1.A.1.b.5,Inductive Reasoning,LV,Level,4,Determine the prime suspect based on crime scene evidence
27,1.A.1.b.5,Inductive Reasoning,LV,Level,6,Diagnose a disease using results of many different lab tests
28,1.A.1.b.6,Information Ordering,LV,Level,1,Put things in numerical order
29,1.A.1.b.6,Information Ordering,LV,Level,2,Follow the correct steps to make change
30,1.A.1.b.6,Information Ordering,LV,Level,6,Assemble a wind turbine
31,1.A.1.b.7,Category Flexibility,LV,Level,2,Sort paintbrushes based on length
32,1.A.1.b.7,Category Flexibility,LV,Level,3,"Classify flowers according to size, color, and smell"
33,1.A.1.b.7,Category Flexibility,LV,Level,6,"Classify man-made fibers in terms of their characteristics, like strength or cost"
34,1.A.1.c.1,Mathematical Reasoning,LV,Level,1,Determine how much 20 oranges will cost when they are priced at 5 for 4 dollars
35,1.A.1.c.1,Mathematical Reasoning,LV,Level,4,Decide how to calculate profits to determine the amounts of yearly bonuses
36,1.A.1.c.1,Mathematical Reasoning,LV,Level,6,Determine the mathematics required to simulate a space craft landing on the moon
37,1.A.1.c.2,Number Facility,LV,Level,1,Add 2 and 7
38,1.A.1.c.2,Number Facility,LV,Level,3,Calculate a discounted price
39,1.A.1.c.2,Number Facility,LV,Level,5,Compute the interest payment that should be generated from an investment
40,1.A.1.d.1,Memorization,LV,Level,1,Remember the number on your bus to be sure you get back on the right one
41,1.A.1.d.1,Memorization,LV,Level,4,Recite the first names of the five people you just met
42,1.A.1.d.1,Memorization,LV,Level,6,Recite a 300-word speech after studying it for 15 minutes
43,1.A.1.e.1,Speed of Closure,LV,Level,3,Recognize a song after hearing only the first few notes
44,1.A.1.e.1,Speed of Closure,LV,Level,4,Make sense of messy handwriting
45,1.A.1.e.1,Speed of Closure,LV,Level,5,Interpret patterns on weather radar to decide if the weather is changing
46,1.A.1.e.2,Flexibility of Closure,LV,Level,2,Detect that your phone is ringing while at a concert
47,1.A.1.e.2,Flexibility of Closure,LV,Level,4,Look for a golf ball in tall grass
48,1.A.1.e.2,Flexibility of Closure,LV,Level,6,Identify camouflaged animals from a moving vehicle while on a safari
49,1.A.1.e.3,Perceptual Speed,LV,Level,2,Sort mail according to ZIP codes with no time pressure
50,1.A.1.e.3,Perceptual Speed,LV,Level,4,Read five pressure indicators in 10 seconds to make sure each is within safe limits
51,1.A.1.e.3,Perceptual Speed,LV,Level,6,Inspect electrical parts for defects as they pass on a fast-moving assembly line
52,1.A.1.f.1,Spatial Orientation,LV,Level,2,Use the floor plan to locate a store in a mall
53,1.A.1.f.1,Spatial Orientation,LV,Level,3,Find your way through a dark room without hitting anything
54,1.A.1.f.1,Spatial Orientation,LV,Level,6,Navigate an ocean voyage using a compass and landmarks
55,1.A.1.f.2,Visualization,LV,Level,2,Imagine how to place paper in a printer so that the letterhead comes out on top
56,1.A.1.f.2,Visualization,LV,Level,4,Follow a diagram to assemble a metal storage cabinet
57,1.A.1.f.2,Visualization,LV,Level,6,Anticipate future moves in a chess game
