PK,O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Relatedness Tier,Index
1,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,Primary-Short,1
2,11-1011.00,Chief Executives,11-2032.00,Public Relations Managers,Primary-Short,2
3,11-1011.00,Chief Executives,11-9151.00,Social and Community Service Managers,Primary-Short,3
4,11-1011.00,Chief Executives,11-3031.01,Treasurers and Controllers,Primary-Short,4
5,11-1011.00,Chief Executives,11-9199.02,Compliance Managers,Primary-Short,5
6,11-1011.00,Chief Executives,11-9033.00,"Education Administrators, Postsecondary",Primary-Long,6
7,11-1011.00,Chief Executives,11-3121.00,Human Resources Managers,Primary-Long,7
8,11-1011.00,Chief Executives,11-1031.00,Legislators,Primary-Long,8
9,11-1011.00,Chief Executives,11-3031.00,Financial Managers,Primary-Long,9
10,11-1011.00,Chief Executives,11-1011.03,Chief Sustainability Officers,Primary-Long,10
11,11-1011.00,Chief Executives,13-1111.00,Management Analysts,Supplemental,11
12,11-1011.00,Chief Executives,11-3012.00,Administrative Services Managers,Supplemental,12
13,11-1011.00,Chief Executives,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Supplemental,13
14,11-1011.00,Chief Executives,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,14
15,11-1011.00,Chief Executives,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Supplemental,15
16,11-1011.00,Chief Executives,27-3031.00,Public Relations Specialists,Supplemental,16
17,11-1011.00,Chief Executives,13-1075.00,Labor Relations Specialists,Supplemental,17
18,11-1011.00,Chief Executives,13-2061.00,Financial Examiners,Supplemental,18
19,11-1011.00,Chief Executives,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Supplemental,19
20,11-1011.00,Chief Executives,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Supplemental,20
21,11-1011.03,Chief Sustainability Officers,13-1199.05,Sustainability Specialists,Primary-Short,1
22,11-1011.03,Chief Sustainability Officers,19-2041.01,Climate Change Policy Analysts,Primary-Short,2
23,11-1011.03,Chief Sustainability Officers,19-2041.03,Industrial Ecologists,Primary-Short,3
24,11-1011.03,Chief Sustainability Officers,11-9199.10,Wind Energy Development Managers,Primary-Short,4
25,11-1011.03,Chief Sustainability Officers,19-2041.00,"Environmental Scientists and Specialists, Including Health",Primary-Short,5
26,11-1011.03,Chief Sustainability Officers,19-3051.00,Urban and Regional Planners,Primary-Long,6
27,11-1011.03,Chief Sustainability Officers,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Primary-Long,7
28,11-1011.03,Chief Sustainability Officers,19-2041.02,Environmental Restoration Planners,Primary-Long,8
29,11-1011.03,Chief Sustainability Officers,19-1031.00,Conservation Scientists,Primary-Long,9
30,11-1011.03,Chief Sustainability Officers,11-1011.00,Chief Executives,Primary-Long,10
31,11-1011.03,Chief Sustainability Officers,13-1082.00,Project Management Specialists,Supplemental,11
32,11-1011.03,Chief Sustainability Officers,13-1111.00,Management Analysts,Supplemental,12
33,11-1011.03,Chief Sustainability Officers,11-9199.02,Compliance Managers,Supplemental,13
34,11-1011.03,Chief Sustainability Officers,47-4011.01,Energy Auditors,Supplemental,14
35,11-1011.03,Chief Sustainability Officers,17-2081.00,Environmental Engineers,Supplemental,15
36,11-1011.03,Chief Sustainability Officers,15-1299.09,Information Technology Project Managers,Supplemental,16
37,11-1011.03,Chief Sustainability Officers,13-1199.04,Business Continuity Planners,Supplemental,17
38,11-1011.03,Chief Sustainability Officers,25-1053.00,"Environmental Science Teachers, Postsecondary",Supplemental,18
39,11-1011.03,Chief Sustainability Officers,19-3011.01,Environmental Economists,Supplemental,19
40,11-1011.03,Chief Sustainability Officers,11-9121.02,Water Resource Specialists,Supplemental,20
41,11-1021.00,General and Operations Managers,11-3013.00,Facilities Managers,Primary-Short,1
42,11-1021.00,General and Operations Managers,11-1011.00,Chief Executives,Primary-Short,2
43,11-1021.00,General and Operations Managers,11-3051.00,Industrial Production Managers,Primary-Short,3
44,11-1021.00,General and Operations Managers,11-3012.00,Administrative Services Managers,Primary-Short,4
45,11-1021.00,General and Operations Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Primary-Short,5
46,11-1021.00,General and Operations Managers,11-3071.00,"Transportation, Storage, and Distribution Managers",Primary-Long,6
47,11-1021.00,General and Operations Managers,13-1082.00,Project Management Specialists,Primary-Long,7
48,11-1021.00,General and Operations Managers,11-9021.00,Construction Managers,Primary-Long,8
49,11-1021.00,General and Operations Managers,15-1299.09,Information Technology Project Managers,Primary-Long,9
50,11-1021.00,General and Operations Managers,11-2022.00,Sales Managers,Primary-Long,10
51,11-1021.00,General and Operations Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,11
52,11-1021.00,General and Operations Managers,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Supplemental,12
53,11-1021.00,General and Operations Managers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Supplemental,13
54,11-1021.00,General and Operations Managers,51-1011.00,First-Line Supervisors of Production and Operating Workers,Supplemental,14
55,11-1021.00,General and Operations Managers,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Supplemental,15
56,11-1021.00,General and Operations Managers,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Supplemental,16
57,11-1021.00,General and Operations Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Supplemental,17
58,11-1021.00,General and Operations Managers,13-1111.00,Management Analysts,Supplemental,18
59,11-1021.00,General and Operations Managers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,Supplemental,19
60,11-1021.00,General and Operations Managers,17-2112.00,Industrial Engineers,Supplemental,20
61,11-1031.00,Legislators,11-1011.00,Chief Executives,Primary-Short,1
62,11-1031.00,Legislators,19-3094.00,Political Scientists,Primary-Short,2
63,11-1031.00,Legislators,23-1012.00,Judicial Law Clerks,Primary-Short,3
